,time,drug,wm,output,correct,trial
365,3.65,GFC,0.02220688760979799,0.26231094300868874,1,3
366,3.66,GFC,0.010965347394926512,0.3922268126606241,1,3
367,3.67,GFC,0.021381064940953542,-0.6736666514759813,0,3
368,3.68,GFC,0.022965150421423497,0.08730980661573622,1,3
369,3.69,GFC,0.019834906666438154,0.056851820647189785,1,3
370,3.7,GFC,0.025456526270361345,0.0839418459318414,1,3
371,3.71,GFC,0.01892244134617984,-0.11793876202468817,0,3
372,3.72,GFC,0.015761231010767863,-0.03317581740867641,0,3
373,3.73,GFC,0.019540863208411405,-0.4871566651818787,0,3
374,3.74,GFC,0.02397285745247814,0.5972650709164907,1,3
375,3.75,GFC,0.010880048479165847,-0.9560156836031021,0,3
376,3.7600000000000002,GFC,0.02836281996459183,-0.7226465494687679,0,3
377,3.77,GFC,0.032063164996998,-0.6727049641631029,0,3
378,3.7800000000000002,GFC,0.01984176131949145,-0.4925612320994482,0,3
379,3.79,GFC,0.011680393125937358,-0.6169439011594449,0,3
380,3.8000000000000003,GFC,0.017324865106088865,-0.35676072154225746,0,3
381,3.81,GFC,0.020097010654528503,0.596975538641407,1,3
382,3.8200000000000003,GFC,0.02137555939651263,-0.22873499767967187,0,3
383,3.83,GFC,0.026533009346594544,-0.7716715003043848,0,3
384,3.84,GFC,0.022896822679274002,-0.07464128633522296,0,3
385,3.85,GFC,0.011663818205929296,-0.4600692627319956,0,3
386,3.86,GFC,0.020828648015996768,-0.8658516057874125,0,3
387,3.87,GFC,0.0005202323293817361,-0.337706729014215,0,3
388,3.88,GFC,0.00555477655570203,0.7279678354491992,1,3
389,3.89,GFC,0.011177812693123965,-0.2592042316919341,0,3
390,3.9,GFC,0.019897433100723887,0.6706853498562924,1,3
391,3.91,GFC,0.003439906183112391,-0.14885346495636098,0,3
392,3.92,GFC,0.012308518382404824,0.1198018790630457,1,3
393,3.93,GFC,0.0029609523639051796,-0.1287687088657966,0,3
394,3.94,GFC,0.0022953563977383233,0.2924919346868023,1,3
395,3.95,GFC,0.007005851289649619,0.1802680665829816,1,3
396,3.96,GFC,0.018131654333342646,-1.0393408661848251,0,3
397,3.97,GFC,0.003334135114686644,-0.09108259918604225,0,3
398,3.98,GFC,0.0037704004055593133,0.5257425047351074,1,3
399,3.99,GFC,0.002896976102593653,-0.5456050055906445,0,3
400,4.0,GFC,0.0045405829196525525,0.053703191590712844,1,3
401,4.01,GFC,0.006097810380954505,0.9544068126927258,1,3
402,4.0200000000000005,GFC,0.00979668869470793,0.06981977112535961,1,3
403,4.03,GFC,0.002340449002473045,-0.29304927439361106,0,3
404,4.04,GFC,0.015118417643916828,-0.8247085358649342,0,3
405,4.05,GFC,0.0128106119278905,-0.39606950915549904,0,3
406,4.0600000000000005,GFC,0.00041316025179424266,0.5227132629923968,1,3
407,4.07,GFC,0.009799503987848705,0.18598142431510056,1,3
408,4.08,GFC,0.0014556794504503312,0.06997131547558746,1,3
409,4.09,GFC,0.0016131713330748217,-1.1010193300427478,0,3
410,4.1,GFC,0.006664070875010077,0.935462155126058,1,3
411,4.11,GFC,0.001967585748107378,0.06130917806022154,1,3
412,4.12,GFC,0.0034265931661294547,0.6645146306340837,1,3
413,4.13,GFC,0.002179731820027723,-0.5590038763640602,0,3
414,4.14,GFC,0.011371542551483527,-0.20502163882926674,0,3
415,4.15,GFC,0.007998474834535339,0.16473286505470114,1,3
416,4.16,GFC,0.0014801493882672418,0.4700580602661235,1,3
417,4.17,GFC,0.002436156036059752,-0.31744577652636996,0,3
418,4.18,GFC,0.007058070675017516,0.20695436078872648,1,3
419,4.19,GFC,0.008469018301648725,-0.27204170749267914,0,3
420,4.2,GFC,0.0018494656621383019,0.3469920754585847,1,3
421,4.21,GFC,0.00398059296532531,-0.9763681492940227,0,3
422,4.22,GFC,0.0009494615872800336,0.12221339782420085,1,3
423,4.23,GFC,0.006292282054274538,-0.41780398657450857,0,3
424,4.24,GFC,0.00213279125248648,-0.6621544628564666,0,3
425,4.25,GFC,0.0039084337404326885,-1.1068999564697317,0,3
426,4.26,GFC,0.0053699718152343985,-0.6178271381384668,0,3
427,4.2700000000000005,GFC,0.001922246438273864,-0.25441640959955064,0,3
428,4.28,GFC,0.008664610139713334,-1.4341275060927297,0,3
429,4.29,GFC,0.006530606853609118,0.5552561902637478,1,3
430,4.3,GFC,0.004857818129341351,0.06370280180083471,1,3
431,4.3100000000000005,GFC,0.011808285306618378,0.44406510171174696,1,3
432,4.32,GFC,0.00868129798989753,-0.1018799856842455,0,3
433,4.33,GFC,0.020660858327969565,0.176362064402837,1,3
434,4.34,GFC,0.005742474142268024,-0.6445403335056592,0,3
435,4.3500000000000005,GFC,7.79153235340663e-05,-1.057542716965811,0,3
436,4.36,GFC,0.0011231062815356217,-0.2572817826445458,0,3
437,4.37,GFC,0.0035188031759258564,1.1317986161926783,1,3
438,4.38,GFC,0.01462632518449453,-0.5636951769443579,0,3
439,4.39,GFC,0.010016885001682194,0.43253099828633135,1,3
440,4.4,GFC,0.009466477535385513,0.7959369263444125,1,3
441,4.41,GFC,0.020209661716417953,0.2478778140757204,1,3
442,4.42,GFC,0.012280617265059388,-0.10433203995372793,0,3
443,4.43,GFC,0.005151448614912195,-0.9253948025266534,0,3
444,4.44,GFC,0.012005502855471476,0.4246160253703512,1,3
445,4.45,GFC,0.006748439949667298,0.21795022828108443,1,3
446,4.46,GFC,0.005701255987660278,-0.08745617690968643,0,3
447,4.47,GFC,0.010278009990981949,0.22009166992820203,1,3
448,4.48,GFC,0.01596435849180521,-0.36776311136167483,0,3
449,4.49,GFC,0.008690013638970186,-0.5043159396953967,0,3
450,4.5,GFC,0.006093642448302841,0.7304077237062683,1,3
451,4.51,GFC,0.009065583636665084,0.07897363672331721,1,3
452,4.5200000000000005,GFC,0.012823562346183641,0.22411961974841754,1,3
453,4.53,GFC,0.0086916211797011,0.12141055610391348,1,3
454,4.54,GFC,0.011836576866908153,0.20589029251109373,1,3
455,4.55,GFC,0.018757294556353978,-0.1516996333978199,0,3
456,4.5600000000000005,GFC,0.013656019126106545,0.16243539052933348,1,3
457,4.57,GFC,0.00806813353468621,0.7661934339012286,1,3
458,4.58,GFC,0.012701194728854738,-0.7208490865054649,0,3
459,4.59,GFC,0.019297745334367244,-0.09347918122990548,0,3
460,4.6000000000000005,GFC,0.019033498953097944,0.8578969570015724,1,3
461,4.61,GFC,0.004623245454201161,-0.5663550635785299,0,3
462,4.62,GFC,0.014399366251579233,-0.9526110799486746,0,3
463,4.63,GFC,0.02241177117375838,0.644651322465422,1,3
464,4.64,GFC,0.025189220310366377,0.25542389352884304,1,3
465,4.65,GFC,0.025051267913764164,-0.8804181055390112,0,3
466,4.66,GFC,0.021939542833816834,0.20662016061979172,1,3
467,4.67,GFC,0.008470831774755258,-0.8748319552930915,0,3
468,4.68,GFC,0.018974298091032932,-1.1025186810353174,0,3
469,4.69,GFC,0.030882528441553384,0.07425609040009143,1,3
470,4.7,GFC,0.014939519907347338,0.3168412576889421,1,3
471,4.71,GFC,0.014508965579812851,-0.04803611185322008,0,3
472,4.72,GFC,0.02832826492711405,-0.540308692362017,0,3
473,4.73,GFC,0.01082039385606369,-0.25979973663251343,0,3
474,4.74,GFC,0.007692186028332724,0.05579357441297331,1,3
475,4.75,GFC,0.0245291391504556,-0.40813317977851993,0,3
476,4.76,GFC,0.017023434473579565,1.2269688475024059,1,3
477,4.7700000000000005,GFC,0.012847991976074103,0.5130038710823097,1,3
478,4.78,GFC,0.010624382064202261,-0.6871755049752265,0,3
